indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
CNMIGRATRT,AD,2012,-29.8,
CNMIGRATRT,AD,2016,14.5,e
CNMIGRATRT,AD,2018,15.6,e
CNMIGRATRT,AD,2019,14.7,e
CNMIGRATRT,AD,2022,23.9,
CNMIGRATRT,AL,2011,-6.4,
CNMIGRATRT,AL,2012,-6.8,
CNMIGRATRT,AL,2013,-7.1,
CNMIGRATRT,AL,2014,-7.5,
CNMIGRATRT,AL,2015,-7.1,
CNMIGRATRT,AL,2016,-3.2,
CNMIGRATRT,AL,2017,-5.2,
CNMIGRATRT,AL,2018,-5.2,
CNMIGRATRT,AL,2019,-8.1,
CNMIGRATRT,AL,2020,-5.9,
CNMIGRATRT,AL,2021,-11.7,
CNMIGRATRT,AL,2022,-11.7,
CNMIGRATRT,AM,2011,-1.1,
CNMIGRATRT,AM,2015,-8.6,
CNMIGRATRT,AM,2016,-8.3,
CNMIGRATRT,AM,2017,-8,
CNMIGRATRT,AM,2018,-6.2,
CNMIGRATRT,AM,2019,-5.2,
CNMIGRATRT,AM,2020,1.1,
CNMIGRATRT,AT,2011,3.7,
CNMIGRATRT,AT,2012,5.2,
CNMIGRATRT,AT,2013,6.6,
CNMIGRATRT,AT,2014,8.6,
CNMIGRATRT,AT,2015,13.2,
CNMIGRATRT,AT,2016,7.5,
CNMIGRATRT,AT,2017,5.1,
CNMIGRATRT,AT,2018,4,
CNMIGRATRT,AT,2019,4.6,
CNMIGRATRT,AT,2020,4.4,
CNMIGRATRT,AT,2021,5.8,
CNMIGRATRT,AT,2022,15.1,
CNMIGRATRT,AZ,2011,0.2,
CNMIGRATRT,AZ,2012,0.2,
CNMIGRATRT,AZ,2013,0.2,
CNMIGRATRT,AZ,2014,0.1,
CNMIGRATRT,AZ,2015,0.1,
CNMIGRATRT,AZ,2016,0.2,
CNMIGRATRT,AZ,2017,0.1,
CNMIGRATRT,AZ,2018,0.2,
CNMIGRATRT,AZ,2019,0,
CNMIGRATRT,AZ,2020,0.1,
CNMIGRATRT,AZ,2021,0.2,
CNMIGRATRT,AZ,2022,-9,
CNMIGRATRT,BA,2011,-0.1,
CNMIGRATRT,BA,2012,0,
CNMIGRATRT,BA,2013,0.1,
CNMIGRATRT,BA,2014,0,
CNMIGRATRT,BA,2016,0,
CNMIGRATRT,BA,2017,-0.6,
CNMIGRATRT,BA,2018,0,p
CNMIGRATRT,BE,2011,4.6,b
CNMIGRATRT,BE,2012,3.9,b
CNMIGRATRT,BE,2013,2.4,
CNMIGRATRT,BE,2014,3.2,
CNMIGRATRT,BE,2015,5.5,
CNMIGRATRT,BE,2016,2.4,
CNMIGRATRT,BE,2017,3.2,
CNMIGRATRT,BE,2018,4.3,
CNMIGRATRT,BE,2019,5,
CNMIGRATRT,BE,2020,3.9,
CNMIGRATRT,BE,2021,4.9,
CNMIGRATRT,BE,2022,10.9,
CNMIGRATRT,BG,2011,-0.7,
CNMIGRATRT,BG,2012,-0.3,
CNMIGRATRT,BG,2013,-0.2,
CNMIGRATRT,BG,2014,-0.3,
CNMIGRATRT,BG,2015,-0.6,
CNMIGRATRT,BG,2016,-1.3,
CNMIGRATRT,BG,2017,-0.8,
CNMIGRATRT,BG,2018,-0.5,
CNMIGRATRT,BG,2019,-0.3,
CNMIGRATRT,BG,2020,4.4,
CNMIGRATRT,BG,2021,1.8,
CNMIGRATRT,BG,2022,-49.5,
CNMIGRATRT,BY,2011,1,
CNMIGRATRT,BY,2012,1,
CNMIGRATRT,BY,2014,1.7,
CNMIGRATRT,BY,2015,1.9,e
CNMIGRATRT,BY,2016,0.8,
CNMIGRATRT,BY,2017,0.4,
CNMIGRATRT,BY,2018,1,
CNMIGRATRT,BY,2019,-3.6,
CNMIGRATRT,CH,2011,8.3,b
CNMIGRATRT,CH,2012,8.3,
CNMIGRATRT,CH,2013,10.2,
CNMIGRATRT,CH,2014,9.4,
CNMIGRATRT,CH,2015,8.5,
CNMIGRATRT,CH,2016,8.3,
CNMIGRATRT,CH,2017,5.2,
CNMIGRATRT,CH,2018,4.7,
CNMIGRATRT,CH,2019,5,
CNMIGRATRT,CH,2020,6.3,
CNMIGRATRT,CH,2021,5.7,
CNMIGRATRT,CH,2022,7.8,
CNMIGRATRT,CY,2011,21.3,
CNMIGRATRT,CY,2012,-0.7,
CNMIGRATRT,CY,2013,-14,
CNMIGRATRT,CY,2014,-17.4,
CNMIGRATRT,CY,2015,-2.4,
CNMIGRATRT,CY,2016,2.9,
CNMIGRATRT,CY,2017,7.2,
CNMIGRATRT,CY,2018,9.3,
CNMIGRATRT,CY,2019,10,
CNMIGRATRT,CY,2020,5,
CNMIGRATRT,CY,2021,6.2,
CNMIGRATRT,CY,2022,14.3,
CNMIGRATRT,CZ,2011,1.6,
CNMIGRATRT,CZ,2012,1,
CNMIGRATRT,CZ,2013,-0.1,
CNMIGRATRT,CZ,2014,2.1,
CNMIGRATRT,CZ,2015,1.5,
CNMIGRATRT,CZ,2016,1.9,
CNMIGRATRT,CZ,2017,2.7,
CNMIGRATRT,CZ,2018,3.6,
CNMIGRATRT,CZ,2019,4.1,
CNMIGRATRT,CZ,2020,2.5,
CNMIGRATRT,CZ,2021,4.8,b
CNMIGRATRT,CZ,2022,30.9,b
CNMIGRATRT,DE,2011,3.7,b
CNMIGRATRT,DE,2012,4.9,
CNMIGRATRT,DE,2013,5.6,
CNMIGRATRT,DE,2014,7.2,
CNMIGRATRT,DE,2015,14.3,
CNMIGRATRT,DE,2016,5.6,
CNMIGRATRT,DE,2017,5.1,
CNMIGRATRT,DE,2018,4.8,
CNMIGRATRT,DE,2019,3.7,
CNMIGRATRT,DE,2020,2.4,
CNMIGRATRT,DE,2021,3.7,
CNMIGRATRT,DE,2022,17.3,
CNMIGRATRT,DK,2011,2.4,
CNMIGRATRT,DK,2012,3,
CNMIGRATRT,DK,2013,3.8,
CNMIGRATRT,DK,2014,4.8,
CNMIGRATRT,DK,2015,7.4,
CNMIGRATRT,DK,2016,5.7,
CNMIGRATRT,DK,2017,4.2,
CNMIGRATRT,DK,2018,3.2,
CNMIGRATRT,DK,2019,1.6,
CNMIGRATRT,DK,2020,1.9,
CNMIGRATRT,DK,2021,4.6,
CNMIGRATRT,DK,2022,10.2,
CNMIGRATRT,EA19,2011,1.4,b
CNMIGRATRT,EA19,2012,2,b
CNMIGRATRT,EA19,2013,4.4,
CNMIGRATRT,EA19,2014,2.1,b
CNMIGRATRT,EA19,2015,4,b
CNMIGRATRT,EA19,2016,2.3,
CNMIGRATRT,EA19,2017,2.7,b
CNMIGRATRT,EA19,2018,3.6,e
CNMIGRATRT,EA19,2019,3.7,bep
CNMIGRATRT,EA19,2020,2.2,p
CNMIGRATRT,EA19,2021,2.5,bp
CNMIGRATRT,EA19,2022,11,bp
CNMIGRATRT,EA20,2011,1.4,b
CNMIGRATRT,EA20,2012,1.9,b
CNMIGRATRT,EA20,2013,4.3,
CNMIGRATRT,EA20,2014,2,b
CNMIGRATRT,EA20,2015,3.9,b
CNMIGRATRT,EA20,2016,2.3,
CNMIGRATRT,EA20,2017,2.6,b
CNMIGRATRT,EA20,2018,3.5,e
CNMIGRATRT,EA20,2019,3.6,be
CNMIGRATRT,EA20,2020,2.1,p
CNMIGRATRT,EA20,2021,2.3,bp
CNMIGRATRT,EA20,2022,10.9,bp
CNMIGRATRT,EE,2011,-2.9,
CNMIGRATRT,EE,2012,-2.8,
CNMIGRATRT,EE,2013,-2,
CNMIGRATRT,EE,2014,-0.5,
CNMIGRATRT,EE,2015,1.8,b
CNMIGRATRT,EE,2016,0.8,
CNMIGRATRT,EE,2017,4,
CNMIGRATRT,EE,2018,5.3,
CNMIGRATRT,EE,2019,4.1,
CNMIGRATRT,EE,2020,2.8,
CNMIGRATRT,EE,2021,5.3,
CNMIGRATRT,EE,2022,29.5,
CNMIGRATRT,EL,2011,-2.9,
CNMIGRATRT,EL,2012,-6,
CNMIGRATRT,EL,2013,-5.4,
CNMIGRATRT,EL,2014,-4.3,
CNMIGRATRT,EL,2015,-4.2,
CNMIGRATRT,EL,2016,1,
CNMIGRATRT,EL,2017,0.8,
CNMIGRATRT,EL,2018,1.6,
CNMIGRATRT,EL,2019,3.3,
CNMIGRATRT,EL,2020,0.6,
CNMIGRATRT,EL,2021,-15.2,
CNMIGRATRT,EL,2022,1.7,
CNMIGRATRT,ES,2011,1.4,
CNMIGRATRT,ES,2012,-3,
CNMIGRATRT,ES,2013,-5.4,
CNMIGRATRT,ES,2014,-2,
CNMIGRATRT,ES,2015,-0.2,
CNMIGRATRT,ES,2016,1.9,
CNMIGRATRT,ES,2017,3.5,
CNMIGRATRT,ES,2018,7.1,
CNMIGRATRT,ES,2019,9.6,
CNMIGRATRT,ES,2020,4.6,
CNMIGRATRT,ES,2021,3.1,
CNMIGRATRT,ES,2022,16.5,
CNMIGRATRT,EU27_2020,2011,1.1,b
CNMIGRATRT,EU27_2020,2012,1.7,b
CNMIGRATRT,EU27_2020,2013,3.4,
CNMIGRATRT,EU27_2020,2014,1.8,b
CNMIGRATRT,EU27_2020,2015,3.2,b
CNMIGRATRT,EU27_2020,2016,2,
CNMIGRATRT,EU27_2020,2017,2.3,b
CNMIGRATRT,EU27_2020,2018,3,e
CNMIGRATRT,EU27_2020,2019,3.2,bep
CNMIGRATRT,EU27_2020,2020,1.9,ep
CNMIGRATRT,EU27_2020,2021,1.9,bep
CNMIGRATRT,EU27_2020,2022,7.2,bep
CNMIGRATRT,FI,2011,3.1,
CNMIGRATRT,FI,2012,3.3,
CNMIGRATRT,FI,2013,3.3,
CNMIGRATRT,FI,2014,2.8,
CNMIGRATRT,FI,2015,2.3,
CNMIGRATRT,FI,2016,3.1,
CNMIGRATRT,FI,2017,2.4,
CNMIGRATRT,FI,2018,2.1,
CNMIGRATRT,FI,2019,2.8,
CNMIGRATRT,FI,2020,3.2,
CNMIGRATRT,FI,2021,4.1,
CNMIGRATRT,FI,2022,6.1,
CNMIGRATRT,FR,2011,0.3,
CNMIGRATRT,FR,2012,1.1,
CNMIGRATRT,FR,2013,1.5,
CNMIGRATRT,FR,2014,0.5,b
CNMIGRATRT,FR,2015,-0.4,
CNMIGRATRT,FR,2016,-0.3,
CNMIGRATRT,FR,2017,0.8,
CNMIGRATRT,FR,2018,1.7,
CNMIGRATRT,FR,2019,0.8,p
CNMIGRATRT,FR,2020,1.5,p
CNMIGRATRT,FR,2021,2,p
CNMIGRATRT,FR,2022,2.4,p
CNMIGRATRT,FX,2011,0.8,
CNMIGRATRT,FX,2012,1.4,
CNMIGRATRT,GE,2011,4.5,
CNMIGRATRT,GE,2014,-188,b
CNMIGRATRT,GE,2015,-5.2,
CNMIGRATRT,GE,2016,0,
CNMIGRATRT,GE,2017,-0.6,
CNMIGRATRT,GE,2018,-2.9,
CNMIGRATRT,GE,2019,-2.2,
CNMIGRATRT,GE,2020,4.2,
CNMIGRATRT,GE,2021,-7,
CNMIGRATRT,HR,2011,-0.9,
CNMIGRATRT,HR,2012,-0.9,
CNMIGRATRT,HR,2013,-1.1,
CNMIGRATRT,HR,2014,-2.4,
CNMIGRATRT,HR,2015,-4.3,
CNMIGRATRT,HR,2016,-5.4,
CNMIGRATRT,HR,2017,-7.7,
CNMIGRATRT,HR,2018,-3.3,
CNMIGRATRT,HR,2019,-0.6,
CNMIGRATRT,HR,2020,-0.2,
CNMIGRATRT,HR,2021,-37.4,
CNMIGRATRT,HR,2022,3,
CNMIGRATRT,HU,2011,1.3,
CNMIGRATRT,HU,2012,1.6,b
CNMIGRATRT,HU,2013,0.6,
CNMIGRATRT,HU,2014,1.1,
CNMIGRATRT,HU,2015,1.5,
CNMIGRATRT,HU,2016,-0.1,
CNMIGRATRT,HU,2017,1.8,
CNMIGRATRT,HU,2018,3.3,
CNMIGRATRT,HU,2019,3.4,
CNMIGRATRT,HU,2020,0.9,
CNMIGRATRT,HU,2021,2.1,
CNMIGRATRT,HU,2022,-4.4,
CNMIGRATRT,IE,2011,-5.9,
CNMIGRATRT,IE,2012,-4.8,
CNMIGRATRT,IE,2013,-2.5,
CNMIGRATRT,IE,2014,0.4,
CNMIGRATRT,IE,2015,2.8,
CNMIGRATRT,IE,2016,5.2,
CNMIGRATRT,IE,2017,3,
CNMIGRATRT,IE,2018,9,e
CNMIGRATRT,IE,2019,6.5,e
CNMIGRATRT,IE,2020,3.7,
CNMIGRATRT,IE,2021,5.4,
CNMIGRATRT,IE,2022,37.2,
CNMIGRATRT,IS,2011,-4.3,
CNMIGRATRT,IS,2012,-0.9,
CNMIGRATRT,IS,2013,5.1,
CNMIGRATRT,IS,2014,3.4,
CNMIGRATRT,IS,2015,4.5,
CNMIGRATRT,IS,2016,12.2,
CNMIGRATRT,IS,2017,24.1,
CNMIGRATRT,IS,2018,18.6,
CNMIGRATRT,IS,2019,13.8,
CNMIGRATRT,IS,2020,6.7,
CNMIGRATRT,IS,2021,13.2,
CNMIGRATRT,IS,2022,25.7,
CNMIGRATRT,IT,2011,1.3,
CNMIGRATRT,IT,2012,6.2,
CNMIGRATRT,IT,2013,19.7,
CNMIGRATRT,IT,2014,1.8,
CNMIGRATRT,IT,2015,0.5,
CNMIGRATRT,IT,2016,1.1,
CNMIGRATRT,IT,2017,1.4,
CNMIGRATRT,IT,2018,1.1,
CNMIGRATRT,IT,2019,0.7,b
CNMIGRATRT,IT,2020,-1.2,
CNMIGRATRT,IT,2021,1.6,
CNMIGRATRT,IT,2022,4.9,
CNMIGRATRT,LI,2011,4.9,
CNMIGRATRT,LI,2012,6.3,
CNMIGRATRT,LI,2013,5.4,
CNMIGRATRT,LI,2014,3.6,
CNMIGRATRT,LI,2015,4.9,
CNMIGRATRT,LI,2016,2.1,
CNMIGRATRT,LI,2017,5.7,
CNMIGRATRT,LI,2018,4.2,
CNMIGRATRT,LI,2019,7.2,
CNMIGRATRT,LI,2020,7,
CNMIGRATRT,LI,2021,3.8,
CNMIGRATRT,LI,2022,7.2,
CNMIGRATRT,LT,2011,-12.6,
CNMIGRATRT,LT,2012,-7.1,
CNMIGRATRT,LT,2013,-5.7,
CNMIGRATRT,LT,2014,-4.2,
CNMIGRATRT,LT,2015,-7.7,
CNMIGRATRT,LT,2016,-10.5,
CNMIGRATRT,LT,2017,-9.7,
CNMIGRATRT,LT,2018,-1.2,
CNMIGRATRT,LT,2019,3.9,
CNMIGRATRT,LT,2020,7.2,
CNMIGRATRT,LT,2021,12.4,
CNMIGRATRT,LT,2022,25.5,
CNMIGRATRT,LU,2011,21.2,
CNMIGRATRT,LU,2012,18.9,b
CNMIGRATRT,LU,2013,19,
CNMIGRATRT,LU,2014,19.9,
CNMIGRATRT,LU,2015,19.6,
CNMIGRATRT,LU,2016,16.2,
CNMIGRATRT,LU,2017,15.8,b
CNMIGRATRT,LU,2018,16.3,
CNMIGRATRT,LU,2019,16.6,
CNMIGRATRT,LU,2020,10.7,
CNMIGRATRT,LU,2021,13.2,
CNMIGRATRT,LU,2022,20.5,
CNMIGRATRT,LV,2011,-9.7,
CNMIGRATRT,LV,2012,-5.8,
CNMIGRATRT,LV,2013,-7.1,
CNMIGRATRT,LV,2014,-4.3,
CNMIGRATRT,LV,2015,-5.4,
CNMIGRATRT,LV,2016,-6.2,
CNMIGRATRT,LV,2017,-4,
CNMIGRATRT,LV,2018,-2.5,
CNMIGRATRT,LV,2019,-1.8,
CNMIGRATRT,LV,2020,-1.7,
CNMIGRATRT,LV,2021,-0.2,
CNMIGRATRT,LV,2022,11.7,
CNMIGRATRT,MC,2015,12.7,e
CNMIGRATRT,MC,2016,-17.1,e
CNMIGRATRT,MC,2018,0.7,e
CNMIGRATRT,MD,2011,-0.2,
CNMIGRATRT,MD,2012,0,
CNMIGRATRT,MD,2013,-0.5,
CNMIGRATRT,MD,2014,-9.1,be
CNMIGRATRT,MD,2015,-7.5,e
CNMIGRATRT,MD,2016,-16.4,e
CNMIGRATRT,MD,2017,-17.9,ep
CNMIGRATRT,MD,2018,-15.4,e
CNMIGRATRT,MD,2019,-15.5,e
CNMIGRATRT,MD,2020,-12.8,ep
CNMIGRATRT,MD,2022,-32,ep
CNMIGRATRT,ME,2011,-1.5,
CNMIGRATRT,ME,2012,-1.5,
CNMIGRATRT,ME,2013,-1.5,
CNMIGRATRT,ME,2014,-1.5,
CNMIGRATRT,ME,2015,-1.5,
CNMIGRATRT,ME,2016,-1.5,
CNMIGRATRT,ME,2017,-1.5,
CNMIGRATRT,ME,2018,-1.5,
CNMIGRATRT,ME,2019,-1.5,
CNMIGRATRT,ME,2020,-1.5,
CNMIGRATRT,ME,2021,-1.5,
CNMIGRATRT,ME,2022,-1.5,
CNMIGRATRT,MK,2011,-0.4,
CNMIGRATRT,MK,2012,-0.5,
CNMIGRATRT,MK,2013,-0.2,
CNMIGRATRT,MK,2014,-0.2,
CNMIGRATRT,MK,2015,-0.2,
CNMIGRATRT,MK,2016,-0.1,
CNMIGRATRT,MK,2017,0.1,
CNMIGRATRT,MK,2018,0.1,
CNMIGRATRT,MK,2019,-0.1,
CNMIGRATRT,MK,2020,-0.4,
CNMIGRATRT,MK,2021,-113.6,
CNMIGRATRT,MK,2022,-1.5,
CNMIGRATRT,MT,2011,4,
CNMIGRATRT,MT,2012,10.1,
CNMIGRATRT,MT,2013,14.4,
CNMIGRATRT,MT,2014,21.5,
CNMIGRATRT,MT,2015,22.1,
CNMIGRATRT,MT,2016,19.2,
CNMIGRATRT,MT,2017,31.3,
CNMIGRATRT,MT,2018,35.3,
CNMIGRATRT,MT,2019,40.4,
CNMIGRATRT,MT,2020,2.3,
CNMIGRATRT,MT,2021,8.9,
CNMIGRATRT,MT,2022,39.5,
CNMIGRATRT,NL,2011,1.8,
CNMIGRATRT,NL,2012,0.8,
CNMIGRATRT,NL,2013,1.2,
CNMIGRATRT,NL,2014,2.1,
CNMIGRATRT,NL,2015,3.2,
CNMIGRATRT,NL,2016,4.6,
CNMIGRATRT,NL,2017,4.7,
CNMIGRATRT,NL,2018,5,
CNMIGRATRT,NL,2019,6.2,
CNMIGRATRT,NL,2020,3.9,
CNMIGRATRT,NL,2021,6.1,
CNMIGRATRT,NL,2022,12.6,
CNMIGRATRT,NO,2011,9.4,
CNMIGRATRT,NO,2012,9.4,
CNMIGRATRT,NO,2013,7.7,
CNMIGRATRT,NO,2014,7.8,
CNMIGRATRT,NO,2015,5,
CNMIGRATRT,NO,2016,5.6,
CNMIGRATRT,NO,2017,4.1,
CNMIGRATRT,NO,2018,3.4,
CNMIGRATRT,NO,2019,4.8,
CNMIGRATRT,NO,2020,2.1,
CNMIGRATRT,NO,2021,3.7,
CNMIGRATRT,NO,2022,10.6,
CNMIGRATRT,PL,2011,-0.3,
CNMIGRATRT,PL,2012,-0.1,
CNMIGRATRT,PL,2013,-0.7,
CNMIGRATRT,PL,2014,-0.3,
CNMIGRATRT,PL,2015,-0.3,
CNMIGRATRT,PL,2016,0.3,
CNMIGRATRT,PL,2017,0.1,
CNMIGRATRT,PL,2018,0.6,e
CNMIGRATRT,PL,2019,0.5,e
CNMIGRATRT,PL,2020,0.1,ep
CNMIGRATRT,PL,2021,0.1,ep
CNMIGRATRT,PL,2022,-20.4,
CNMIGRATRT,PT,2011,-2.3,
CNMIGRATRT,PT,2012,-3.6,
CNMIGRATRT,PT,2013,-3.5,
CNMIGRATRT,PT,2014,-2.9,
CNMIGRATRT,PT,2015,-1,
CNMIGRATRT,PT,2016,-0.8,
CNMIGRATRT,PT,2017,0.5,
CNMIGRATRT,PT,2018,1.1,
CNMIGRATRT,PT,2019,4.3,
CNMIGRATRT,PT,2020,4,
CNMIGRATRT,PT,2021,2.5,bp
CNMIGRATRT,PT,2022,15,bp
CNMIGRATRT,RO,2011,-2.4,
CNMIGRATRT,RO,2012,-1.1,
CNMIGRATRT,RO,2013,-0.7,
CNMIGRATRT,RO,2014,-1,
CNMIGRATRT,RO,2015,-2.5,
CNMIGRATRT,RO,2016,-3.2,
CNMIGRATRT,RO,2017,-3,
CNMIGRATRT,RO,2018,-2.9,
CNMIGRATRT,RO,2019,-1.3,e
CNMIGRATRT,RO,2020,-1.4,e
CNMIGRATRT,RO,2021,-0.9,e
CNMIGRATRT,RO,2022,5.6,e
CNMIGRATRT,RS,2011,0.3,b
CNMIGRATRT,RS,2012,0,
CNMIGRATRT,RS,2013,0,
CNMIGRATRT,RS,2014,0.3,
CNMIGRATRT,RS,2015,0,
CNMIGRATRT,RS,2016,0,
CNMIGRATRT,RS,2017,0,
CNMIGRATRT,RS,2018,0,
CNMIGRATRT,RS,2019,0,
CNMIGRATRT,RS,2020,0,
CNMIGRATRT,RS,2021,0,
CNMIGRATRT,RS,2022,-16.3,
CNMIGRATRT,RU,2011,2.3,
CNMIGRATRT,SE,2011,4.8,
CNMIGRATRT,SE,2012,5.4,
CNMIGRATRT,SE,2013,6.9,
CNMIGRATRT,SE,2014,7.9,
CNMIGRATRT,SE,2015,8.1,
CNMIGRATRT,SE,2016,11.9,
CNMIGRATRT,SE,2017,10.1,
CNMIGRATRT,SE,2018,8.5,
CNMIGRATRT,SE,2019,7,
CNMIGRATRT,SE,2020,3.5,
CNMIGRATRT,SE,2021,4.9,
CNMIGRATRT,SE,2022,5.6,
CNMIGRATRT,SI,2011,1,
CNMIGRATRT,SI,2012,0.3,
CNMIGRATRT,SI,2013,0.2,
CNMIGRATRT,SI,2014,-0.2,
CNMIGRATRT,SI,2015,0.2,
CNMIGRATRT,SI,2016,0.5,
CNMIGRATRT,SI,2017,0.6,
CNMIGRATRT,SI,2018,7.2,
CNMIGRATRT,SI,2019,7.8,
CNMIGRATRT,SI,2020,8.7,
CNMIGRATRT,SI,2021,1.2,
CNMIGRATRT,SI,2022,6.9,
CNMIGRATRT,SK,2011,0.5,
CNMIGRATRT,SK,2012,0.6,
CNMIGRATRT,SK,2013,0.4,
CNMIGRATRT,SK,2014,0.3,
CNMIGRATRT,SK,2015,0.6,
CNMIGRATRT,SK,2016,0.7,
CNMIGRATRT,SK,2017,0.7,
CNMIGRATRT,SK,2018,0.7,
CNMIGRATRT,SK,2019,0.7,
CNMIGRATRT,SK,2020,0.8,
CNMIGRATRT,SK,2021,-1.5,
CNMIGRATRT,SK,2022,0.2,
CNMIGRATRT,SM,2011,43.2,
CNMIGRATRT,SM,2012,3.9,
CNMIGRATRT,SM,2013,-33.7,
CNMIGRATRT,SM,2014,6.9,
CNMIGRATRT,SM,2015,5.5,
CNMIGRATRT,SM,2016,5.5,
CNMIGRATRT,SM,2017,38.6,
CNMIGRATRT,SM,2018,4.2,
CNMIGRATRT,SM,2019,4.7,
CNMIGRATRT,SM,2021,-29.4,
CNMIGRATRT,SM,2022,5.1,
